prev_norm,m,curr_norm,converged
0.4961717831147019,9,0.46050928514384243,0
0.46050928514384243,3,0.4534344991043033,0
0.4534344991043033,3,0.4495391447969833,0
0.4495391447969833,13,0.2951440666965475,0
0.2951440666965475,8,0.2166252870926951,0
0.2166252870926951,18,0.14427191611135567,0
0.14427191611135567,7,0.11074309197360754,0
0.11074309197360754,14,0.09079320802466484,0
0.09079320802466484,9,0.08238885249361586,0
0.08238885249361586,13,0.051273227518425016,0
0.051273227518425016,12,0.03239860452653018,0
0.03239860452653018,9,0.029498468397832853,0
0.029498468397832853,19,0.012346145105951223,0
0.012346145105951223,7,0.007600031762400583,0
0.007600031762400583,4,0.006659794465760443,0
0.006659794465760443,13,0.005648676781546575,0
0.005648676781546575,17,0.004606378831765371,0
0.004606378831765371,1,0.004549813951107777,0
0.004549813951107777,9,0.0038242698444115758,0
0.0038242698444115758,17,0.0021997987267387627,0
0.0021997987267387627,15,0.0012620974901393618,0
0.0012620974901393618,19,0.0007213099969775224,0
0.0007213099969775224,11,0.0005375765638804114,0
0.0005375765638804114,13,0.0003299317883251763,0
0.0003299317883251763,6,0.00026642889705820965,0
0.00026642889705820965,19,0.00015842207109285613,0
0.00015842207109285613,7,0.0001355335142116215,0
0.0001355335142116215,15,0.00012055417176141417,0
0.00012055417176141417,8,0.00011543243226712738,0
0.00011543243226712738,11,0.00010892925923991061,0
0.00010892925923991061,14,9.581465227343767e-05,0
9.581465227343767e-05,10,8.576619518030333e-05,0
8.576619518030333e-05,18,3.7642151773865465e-05,0
3.7642151773865465e-05,8,1.97562226660533e-05,0
1.97562226660533e-05,13,1.6083263832454275e-05,0
1.6083263832454275e-05,7,1.5749983659691052e-05,0
1.5749983659691052e-05,8,1.531843006913101e-05,0
1.531843006913101e-05,9,1.4806161858432614e-05,0
1.4806161858432614e-05,3,1.4644556929338282e-05,0
1.4644556929338282e-05,2,1.4596659369133799e-05,0
1.4596659369133799e-05,13,8.10593269557559e-06,0
8.10593269557559e-06,13,4.92411239241601e-06,0
4.92411239241601e-06,13,3.839597607691133e-06,0
3.839597607691133e-06,1,3.7709602296467995e-06,0
3.7709602296467995e-06,7,3.4440580528149834e-06,0
3.4440580528149834e-06,4,3.375167663081325e-06,0
3.375167663081325e-06,15,1.7873832144215123e-06,0
1.7873832144215123e-06,17,1.3289631186690783e-06,0
1.3289631186690783e-06,5,1.3032314140923843e-06,0
1.3032314140923843e-06,13,1.125452743777935e-06,0
1.125452743777935e-06,3,1.0940153303398042e-06,0
1.0940153303398042e-06,6,1.0126304554009624e-06,0
1.0126304554009624e-06,3,9.928351603239536e-07,1
14.329470143651369,17,1.9592983586489818,0
1.9592983586489818,15,1.5246216239730377,0
1.5246216239730377,16,1.3034320787550044,0
1.3034320787550044,10,1.1820918796347908,0
1.1820918796347908,19,0.8974837832592149,0
0.8974837832592149,1,0.8864907633812867,0
0.8864907633812867,8,0.81204736524956,0
0.81204736524956,7,0.7783170051082284,0
0.7783170051082284,19,0.6386537170717147,0
0.6386537170717147,11,0.6225576675158686,0
0.6225576675158686,16,0.5890720762161146,0
0.5890720762161146,4,0.5834135865564098,0
0.5834135865564098,19,0.5156517131148676,0
0.5156517131148676,10,0.4865773523257843,0
0.4865773523257843,10,0.46438713647602115,0
0.46438713647602115,19,0.26855141663494664,0
0.26855141663494664,8,0.1693180343614681,0
0.1693180343614681,8,0.1616314418116891,0
0.1616314418116891,12,0.13940156680155621,0
0.13940156680155621,3,0.13165419814485377,0
0.13165419814485377,7,0.12398873217968315,0
0.12398873217968315,4,0.12088720492688695,0
0.12088720492688695,2,0.11994340448897899,0
0.11994340448897899,17,0.07182709105005687,0
0.07182709105005687,12,0.05661611778436188,0
0.05661611778436188,7,0.0534191990797808,0
0.0534191990797808,8,0.051681041884476336,0
0.051681041884476336,9,0.04980016160948844,0
0.04980016160948844,13,0.03924782352479054,0
0.03924782352479054,18,0.026873025564556747,0
0.026873025564556747,18,0.021953293145348135,0
0.021953293145348135,8,0.019260947088721503,0
0.019260947088721503,7,0.0179668556769738,0
0.0179668556769738,9,0.01587108586286279,0
0.01587108586286279,11,0.013982677911071738,0
0.013982677911071738,9,0.013000869484957347,0
0.013000869484957347,13,0.01198284232458098,0
0.01198284232458098,11,0.01117349763596021,0
0.01117349763596021,7,0.010753733490025012,0
0.010753733490025012,7,0.01047126717266436,0
0.01047126717266436,8,0.010063570925490616,0
0.010063570925490616,2,0.00995132073978927,0
0.00995132073978927,4,0.009825997952568838,0
0.009825997952568838,14,0.001983598301607497,0
0.001983598301607497,8,0.0005817117671567218,0
0.0005817117671567218,5,0.00045766191390341724,0
0.00045766191390341724,11,0.0004160748057770724,0
0.0004160748057770724,15,0.00012796428945373883,0
0.00012796428945373883,5,5.874411588501967e-05,0
5.874411588501967e-05,16,4.147429462671405e-05,0
4.147429462671405e-05,18,2.683545643161147e-05,0
2.683545643161147e-05,12,1.9210480683321272e-05,0
1.9210480683321272e-05,13,1.5393360509091465e-05,0
1.5393360509091465e-05,1,1.5263023372784972e-05,0
1.5263023372784972e-05,18,1.1277886710839186e-05,0
1.1277886710839186e-05,8,9.865646041675754e-06,0
9.865646041675754e-06,18,8.580096419861508e-06,0
8.580096419861508e-06,12,6.6255743279121955e-06,0
6.6255743279121955e-06,1,6.53816011488578e-06,0
6.53816011488578e-06,1,6.49499166526603e-06,0
